code,name,id,region:id
0227,FET,no_0227,no_nor
0228,RÆLINGEN,no_0228,no_nor
0229,ENEBAKK,no_0229,no_nor
0230,LØRENSKOG,no_0230,no_nor
0231,SKEDSMO,no_0231,no_nor
0233,NITTEDAL,no_0233,no_nor
0234,GJERDRUM,no_0234,no_nor
0235,ULLENSAKER,no_0235,no_nor
0236,NES,no_0236,no_nor
0237,EIDSVOLL,no_0237,no_nor
0238,NANNESTAD,no_0238,no_nor
0239,HURDAL,no_0239,no_nor
0301,OSLO,no_0301,no_nor
0402,KONGSVINGER,no_0402,no_nor
0403,HAMAR,no_0403,no_nor
0412,RINGSAKER,no_0412,no_nor
0415,LØTEN,no_0415,no_nor
0417,STANGE,no_0417,no_nor
0418,NORD-ODAL,no_0418,no_nor
0419,SØR-ODAL,no_0419,no_nor
0420,EIDSKOG,no_0420,no_nor
0423,GRUE,no_0423,no_nor
0425,ÅSNES,no_0425,no_nor
0426,VÅLER,no_0426,no_nor
0427,ELVERUM,no_0427,no_nor
0428,TRYSIL,no_0428,no_nor
0429,ÅMOT,no_0429,no_nor
0430,STOR-ELVDAL,no_0430,no_nor
0432,RENDALEN,no_0432,no_nor
0434,ENGERDAL,no_0434,no_nor
0436,TOLGA,no_0436,no_nor
0437,TYNSET,no_0437,no_nor
0438,ALVDAL,no_0438,no_nor
0439,FOLLDAL,no_0439,no_nor
0441,OS (HEDMARK),no_0441,no_nor
0501,LILLEHAMMER,no_0501,no_nor
0502,GJØVIK,no_0502,no_nor
0511,DOVRE,no_0511,no_nor
0512,LESJA,no_0512,no_nor
0513,SKJÅK,no_0513,no_nor
0514,LOM,no_0514,no_nor
0515,VÅGÅ,no_0515,no_nor
0516,NORD-FRON,no_0516,no_nor
0517,SEL,no_0517,no_nor
0519,SØR-FRON,no_0519,no_nor
0520,RINGEBU,no_0520,no_nor
0521,ØYER,no_0521,no_nor
0522,GAUSDAL,no_0522,no_nor
0528,ØSTRE TOTEN,no_0528,no_nor
0529,VESTRE TOTEN,no_0529,no_nor
0532,JEVNAKER,no_0532,no_nor
0533,LUNNER,no_0533,no_nor
0534,GRAN,no_0534,no_nor
0536,SØNDRE LAND,no_0536,no_nor
0538,NORDRE LAND,no_0538,no_nor
0540,SØR-AURDAL,no_0540,no_nor
0541,ETNEDAL,no_0541,no_nor
0542,NORD-AURDAL,no_0542,no_nor
0543,VESTRE SLIDRE,no_0543,no_nor
0544,ØYSTRE SLIDRE,no_0544,no_nor
0545,VANG,no_0545,no_nor
0602,DRAMMEN,no_0602,no_nor
0604,KONGSBERG,no_0604,no_nor
0605,RINGERIKE,no_0605,no_nor
0612,HOLE,no_0612,no_nor
0615,FLÅ,no_0615,no_nor
0616,NES,no_0616,no_nor
0617,GOL,no_0617,no_nor
0618,HEMSEDAL,no_0618,no_nor
0619,ÅL,no_0619,no_nor
0620,HOL,no_0620,no_nor
0621,SIGDAL,no_0621,no_nor
0622,KRØDSHERAD,no_0622,no_nor
0623,MODUM,no_0623,no_nor
0624,ØVRE EIKER,no_0624,no_nor
0625,NEDRE EIKER,no_0625,no_nor
0626,LIER,no_0626,no_nor
0627,RØYKEN,no_0627,no_nor
0628,HURUM,no_0628,no_nor
0631,FLESBERG,no_0631,no_nor
0632,ROLLAG,no_0632,no_nor
0633,NORE OG UVDAL,no_0633,no_nor
0701,HORTEN,no_0701,no_nor
0702,HOLMESTRAND,no_0702,no_nor
0704,TØNSBERG,no_0704,no_nor
0706,SANDEFJORD,no_0706,no_nor
0709,LARVIK,no_0709,no_nor
0711,SVELVIK,no_0711,no_nor
0713,SANDE (V.),no_0713,no_nor
0714,HOF,no_0714,no_nor
0716,RE,no_0716,no_nor
0719,ANDEBU,no_0719,no_nor
0720,STOKKE,no_0720,no_nor
0722,NØTTERØY,no_0722,no_nor
0723,TJØME,no_0723,no_nor
0728,LARDAL,no_0728,no_nor
0805,PORSGRUNN,no_0805,no_nor
0806,SKIEN,no_0806,no_nor
0807,NOTODDEN,no_0807,no_nor
0811,SILJAN,no_0811,no_nor
0814,BAMBLE,no_0814,no_nor
0815,KRAGERØ,no_0815,no_nor
0817,DRANGEDAL,no_0817,no_nor
0819,NOME,no_0819,no_nor
0821,BØ (TEL.),no_0821,no_nor
0822,SAUHERAD,no_0822,no_nor
0826,TINN,no_0826,no_nor
0827,HJARTDAL,no_0827,no_nor
0828,SELJORD,no_0828,no_nor
0829,KVITESEID,no_0829,no_nor
0830,NISSEDAL,no_0830,no_nor
0831,FYRESDAL,no_0831,no_nor
0833,TOKKE,no_0833,no_nor
0834,VINJE,no_0834,no_nor
0901,RISØR,no_0901,no_nor
0904,GRIMSTAD,no_0904,no_nor
0906,ARENDAL,no_0906,no_nor
0911,GJERSTAD,no_0911,no_nor
0912,VEGÅRSHEI,no_0912,no_nor
0914,TVEDESTRAND,no_0914,no_nor
0919,FROLAND,no_0919,no_nor
0926,LILLESAND,no_0926,no_nor
0928,BIRKENES,no_0928,no_nor
0929,ÅMLI,no_0929,no_nor
0935,IVELAND,no_0935,no_nor
0937,EVJE OG HORNNES,no_0937,no_nor
0938,BYGLAND,no_0938,no_nor
0940,VALLE,no_0940,no_nor
0941,BYKLE,no_0941,no_nor
1001,KRISTIANSAND,no_1001,no_nor
1002,MANDAL,no_1002,no_nor
1003,FARSUND,no_1003,no_nor
1004,FLEKKEFJORD,no_1004,no_nor
1014,VENNESLA,no_1014,no_nor
1017,SONGDALEN,no_1017,no_nor
1018,SØGNE,no_1018,no_nor
1021,MARNARDAL,no_1021,no_nor
1026,ÅSERAL,no_1026,no_nor
1027,AUDNEDAL,no_1027,no_nor
1029,LINDESNES,no_1029,no_nor
