id,region:id,code,name
l10n_base.no_1018,l10n_base.no_nor,1018,SØGNE
l10n_base.no_1021,l10n_base.no_nor,1021,MARNARDAL
l10n_base.no_1026,l10n_base.no_nor,1026,ÅSERAL
l10n_base.no_1027,l10n_base.no_nor,1027,AUDNEDAL
l10n_base.no_1029,l10n_base.no_nor,1029,LINDESNES
l10n_base.no_1032,l10n_base.no_nor,1032,LYNGDAL
l10n_base.no_1034,l10n_base.no_nor,1034,HÆGEBOSTAD
l10n_base.no_1037,l10n_base.no_nor,1037,KVINESDAL
l10n_base.no_1046,l10n_base.no_nor,1046,SIRDAL
l10n_base.no_1101,l10n_base.no_nor,1101,EIGERSUND
l10n_base.no_1102,l10n_base.no_nor,1102,SANDNES
l10n_base.no_1103,l10n_base.no_nor,1103,STAVANGER
l10n_base.no_1106,l10n_base.no_nor,1106,HAUGESUND
l10n_base.no_1111,l10n_base.no_nor,1111,SOKNDAL
l10n_base.no_1112,l10n_base.no_nor,1112,LUND
l10n_base.no_1114,l10n_base.no_nor,1114,BJERKREIM
l10n_base.no_1119,l10n_base.no_nor,1119,HÅ
l10n_base.no_1120,l10n_base.no_nor,1120,KLEPP
l10n_base.no_1121,l10n_base.no_nor,1121,TIME
l10n_base.no_1122,l10n_base.no_nor,1122,GJESDAL
l10n_base.no_1124,l10n_base.no_nor,1124,SOLA
l10n_base.no_1127,l10n_base.no_nor,1127,RANDABERG
l10n_base.no_1129,l10n_base.no_nor,1129,FORSAND
l10n_base.no_1130,l10n_base.no_nor,1130,STRAND
l10n_base.no_1133,l10n_base.no_nor,1133,HJELMELAND
l10n_base.no_1134,l10n_base.no_nor,1134,SULDAL
l10n_base.no_1135,l10n_base.no_nor,1135,SAUDA
l10n_base.no_1141,l10n_base.no_nor,1141,FINNØY
l10n_base.no_1142,l10n_base.no_nor,1142,RENNESØY
l10n_base.no_1144,l10n_base.no_nor,1144,KVITSØY
l10n_base.no_1145,l10n_base.no_nor,1145,BOKN
l10n_base.no_1146,l10n_base.no_nor,1146,TYSVÆR
l10n_base.no_1149,l10n_base.no_nor,1149,KARMØY
l10n_base.no_1151,l10n_base.no_nor,1151,UTSIRA
l10n_base.no_1160,l10n_base.no_nor,1160,VINDAFJORD
l10n_base.no_1201,l10n_base.no_nor,1201,BERGEN
l10n_base.no_1211,l10n_base.no_nor,1211,ETNE
l10n_base.no_1216,l10n_base.no_nor,1216,SVEIO
l10n_base.no_1219,l10n_base.no_nor,1219,BØMLO
l10n_base.no_1221,l10n_base.no_nor,1221,STORD
l10n_base.no_1222,l10n_base.no_nor,1222,FITJAR
l10n_base.no_1223,l10n_base.no_nor,1223,TYSNES
l10n_base.no_1224,l10n_base.no_nor,1224,KVINNHERAD
l10n_base.no_1227,l10n_base.no_nor,1227,JONDAL
l10n_base.no_1228,l10n_base.no_nor,1228,ODDA
l10n_base.no_1231,l10n_base.no_nor,1231,ULLENSVANG
l10n_base.no_1232,l10n_base.no_nor,1232,EIDFJORD
