code,name,id,region:id
SJ,Radlje ob Dravi,l10n_it_base.si_c_315,l10n_it_base.si_r_004
SL,Razkrižje,l10n_it_base.si_c_322,l10n_it_base.si_r_009
SM,Rečica ob Savinji,l10n_it_base.si_c_323,l10n_it_base.si_r_010
SN,Renče - Vogrsko,l10n_it_base.si_c_324,l10n_it_base.si_r_002
SO,Ribnica na Pohorju,l10n_it_base.si_c_326,l10n_it_base.si_r_004
SP,Velike Lašče,l10n_it_base.si_c_328,l10n_it_base.si_r_007
SR,Rogašovci,l10n_it_base.si_c_331,l10n_it_base.si_r_009
SS,Rogatec,l10n_it_base.si_c_332,l10n_it_base.si_r_010
ST,Železniki,l10n_it_base.si_c_337,l10n_it_base.si_r_001
SU,Selnica ob Dravi,l10n_it_base.si_c_338,l10n_it_base.si_r_008
SV,Semič,l10n_it_base.si_c_339,l10n_it_base.si_r_003
SW,Sodražica,l10n_it_base.si_c_351,l10n_it_base.si_r_003
SZ,Solčava,l10n_it_base.si_c_352,l10n_it_base.si_r_010
SX,Duplek,l10n_it_base.si_c_357,l10n_it_base.si_r_008
SY,Središče ob Dravi,l10n_it_base.si_c_359,l10n_it_base.si_r_008
SQ,Loška dolina,l10n_it_base.si_c_366,l10n_it_base.si_r_005
S1,Zreče,l10n_it_base.si_c_370,l10n_it_base.si_r_010
S2,Straža,l10n_it_base.si_c_371,l10n_it_base.si_r_003
S3,Dobrepolje,l10n_it_base.si_c_372,l10n_it_base.si_r_007
S4,Sveta Ana,l10n_it_base.si_c_375,l10n_it_base.si_r_008
S5,Sveta Trojica v Slovenskih goricah,l10n_it_base.si_c_376,l10n_it_base.si_r_008
S6,Šmarje pri Jelšah,l10n_it_base.si_c_379,l10n_it_base.si_r_010
S7,Sveti Tomaž,l10n_it_base.si_c_380,l10n_it_base.si_r_008
T1,Šalovci,l10n_it_base.si_c_381,l10n_it_base.si_r_009
T2,Šempeter - Vrtojba,l10n_it_base.si_c_383,l10n_it_base.si_r_002
T3,Šenčur,l10n_it_base.si_c_385,l10n_it_base.si_r_001
