id,name,province_id:id,zip,phone_prefix,istat_code,cadaster_code,web_site
l10n_it_base.si_132,Jesenice na Dolenjskem,l10n_it_base.si_c_005,8261,386,251,245,
l10n_it_base.si_133,Jurklošter,l10n_it_base.si_c_133,3273,386,251,245,
l10n_it_base.si_134,Jurovski Dol,l10n_it_base.si_c_134,2223,386,251,245,
l10n_it_base.si_135,Juršinci,l10n_it_base.si_c_135,2256,386,251,245,
l10n_it_base.si_136,Kal nad Kanalom,l10n_it_base.si_c_059,5214,386,251,245,
l10n_it_base.si_137,Kalobje,l10n_it_base.si_c_082,3233,386,251,245,
l10n_it_base.si_138,Kamna Gorica,l10n_it_base.si_c_006,4246,386,251,245,
l10n_it_base.si_139,Kamnica,l10n_it_base.si_c_029,2351,386,251,245,
l10n_it_base.si_140,Kamnik,l10n_it_base.si_c_140,1241,386,251,245,
l10n_it_base.si_141,Kanal,l10n_it_base.si_c_059,5213,386,251,245,
l10n_it_base.si_142,Kapele,l10n_it_base.si_c_005,8258,386,251,245,
l10n_it_base.si_143,Kapla,l10n_it_base.si_c_143,2362,386,251,245,
l10n_it_base.si_144,Kidričevo,l10n_it_base.si_c_046,2325,386,251,245,
l10n_it_base.si_145,Kisovec,l10n_it_base.si_c_050,1412,386,251,245,
l10n_it_base.si_146,Knežak,l10n_it_base.si_c_122,6253,386,251,245,
l10n_it_base.si_147,Kobarid,l10n_it_base.si_c_027,5222,386,251,245,
l10n_it_base.si_148,Kobilje,l10n_it_base.si_c_148,9227,386,251,245,
l10n_it_base.si_149,Kočevje,l10n_it_base.si_c_149,1330,386,251,245,
l10n_it_base.si_150,Kočevska Reka,l10n_it_base.si_c_149,1338,386,251,245,
l10n_it_base.si_151,Kog,l10n_it_base.si_c_125,2276,386,251,245,
l10n_it_base.si_152,Kojsko,l10n_it_base.si_c_071,5211,386,251,245,
l10n_it_base.si_153,Komen,l10n_it_base.si_c_153,6223,386,251,245,
l10n_it_base.si_154,Komenda,l10n_it_base.si_c_154,1218,386,251,245,
